customer_id,age,gender,state,annual_income,employment_type,credit_score
1,59,Male,Arizona,29133.0,Salaried,589.0
2,49,Female,Texas,91280.0,Salaried,768.0
3,35,Female,Florida,88044.0,Self-Employed,824.0
4,63,Female,Illinois,111097.0,Salaried,557.0
5,28,Male,Georgia,102265.29978947369,Business Owner,641.0
6,41,Male,Texas,162012.0,Salaried,763.0
7,59,Male,Ohio,48196.0,Contractor,552.0
8,39,Male,Florida,102265.29978947369,Contractor,637.0
9,43,Female,Florida,44433.0,Salaried,646.0
10,31,Female,Arizona,35934.0,Contractor,760.0
11,31,Female,California,79377.0,Business Owner,845.0
12,44,Female,Arizona,51198.0,Salaried,750.0
13,56,Male,Ohio,69357.0,Contractor,618.0
14,60,Male,Ohio,72787.0,Salaried,801.0
15,44,Male,Florida,110275.0,Salaried,619.0
16,23,Female,New York,66113.0,Salaried,482.0
17,42,Male,Georgia,167165.0,Salaried,775.0
18,22,Female,Ohio,150182.0,Salaried,455.0
19,44,Male,Arizona,48792.0,Contractor,835.0
20,64,Male,Florida,132112.0,Contractor,603.0
21,50,Female,New York,177099.0,Business Owner,497.0
22,58,Male,Illinois,97381.0,Salaried,673.0
23,22,Male,Illinois,162882.0,Contractor,762.0
24,41,Male,Arizona,171300.0,Salaried,518.0
25,53,Male,Ohio,60225.0,Contractor,623.0
26,32,Male,New York,51187.0,Salaried,490.0
27,42,Male,California,160313.0,Business Owner,556.0
28,64,Male,Arizona,175565.0,Self-Employed,465.0
29,45,Female,California,35729.0,Contractor,629.0
30,69,Male,Illinois,37549.0,Business Owner,717.0
31,47,Female,Georgia,63013.0,Business Owner,720.0
32,62,Male,Florida,49347.0,Self-Employed,662.0
33,48,Female,Arizona,89772.0,Business Owner,806.0
34,36,Female,Ohio,65378.0,Self-Employed,470.0
35,35,Male,Ohio,26998.0,Salaried,658.0
36,67,Male,Illinois,102265.29978947369,Self-Employed,660.0
37,64,Female,Illinois,139100.0,Salaried,738.0
38,23,Male,Arizona,140400.0,Business Owner,693.0
39,57,Female,Arizona,52737.0,Salaried,605.0
40,27,Male,New York,63514.0,Contractor,539.0
41,41,Female,California,148549.0,Salaried,746.0
42,29,Female,Georgia,75232.0,Salaried,834.0
43,59,Female,New York,119766.0,Contractor,512.0
44,38,Female,Illinois,35461.0,Salaried,488.0
45,24,Male,Texas,107394.0,Salaried,597.0
46,45,Male,Florida,34323.0,Self-Employed,782.0
